"Whova Agenda Track Excel Template (Three sheets, Agenda, Speaker, Personalized)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
2025-10-26 00:00:00,08:00:00,09:45:00,Short Courses,Analytics for PHM (Day 2),Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Neil Eklund; Jeff Bird,,,,,Sub,
2025-10-26 00:00:00,09:45:00,10:15:00,General,Break,Regency Foyer,,,,,,,Sub,
2025-10-26 00:00:00,10:15:00,12:00:00,Short Courses,"PHM Fundamentals: From Monitoring/Sensing to Fault Diagnosis, Failure Prognosis, and Case Studies (Day 2)",Regency AB,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Karl Reichard; Abhinav Saxena; Jose Celaya; Jeff Bird,,,,,Sub,
2025-10-26 00:00:00,10:15:00,12:00:00,Short Courses,Analytics for PHM (Day 2),Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Neil Eklund; Jeff Bird,,,,,Sub,
2025-10-26 00:00:00,12:00:00,13:00:00,Short Courses,Included Lunch for Short Course participants,,,,,,,,Sub,
2025-10-26 00:00:00,13:00:00,14:45:00,Short Courses,"PHM Fundamentals: From Monitoring/Sensing to Fault Diagnosis, Failure Prognosis, and Case Studies (Day 2)",Regency AB,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Karl Reichard; Abhinav Saxena; Jose Celaya; Jeff Bird,,,,,Sub,
2025-10-26 00:00:00,13:00:00,14:45:00,Short Courses,Analytics for PHM (Day 2),Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Neil Eklund; Jeff Bird,,,,,Sub,
2025-10-26 00:00:00,14:45:00,15:15:00,General,Break,Regency Foyer,,,,,,,Sub,
2025-10-26 00:00:00,15:15:00,17:00:00,Short Courses,"PHM Fundamentals: From Monitoring/Sensing to Fault Diagnosis, Failure Prognosis, and Case Studies (Day 2)",Regency AB,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Karl Reichard; Abhinav Saxena; Jose Celaya; Jeff Bird,,,,,Sub,
2025-10-26 00:00:00,15:15:00,17:00:00,Short Courses,Analytics for PHM (Day 2),Regency EF,"<p> Please <a href=""https://phm2025.phmsociety.org/short-courses/""><b>click here</b></a> for more details about the short courses. </p>",Neil Eklund; Jeff Bird,,,,,Sub,
2025-10-26 00:00:00,07:45:00,17:00:00,Doctoral Symposium,Doctoral Symposium,Jupiter,,Jamie Coble,,,,,Session,
2025-10-26 00:00:00,07:45:00,08:20:00,Doctoral Symposium,Breakfast,Jupiter,,,,,,,Sub,
2025-10-26 00:00:00,08:20:00,08:30:00,Doctoral Symposium,Welcome and Introduction of the Panel,Jupiter,,,,,,,Sub,
2025-10-26 00:00:00,08:30:00,09:00:00,Doctoral Symposium,A Single Carbon Nanotube-paper Composite Electrode Sensor Based Brake Oil Degradation Detection,Jupiter,"<p><i>Abstract:</i> <p>Brake oil is essential to the performance and safety of hydraulic braking systems, but its degradationâ€”primarily caused by water absorptionâ€”can lead to reduced boiling points, corrosion, and brake failure. This study presents a non-invasive method for real-time monitoring of brake oil degradation by detecting changes in water content using a single-electrode capacitive sensor based on a carbon nanotube paper composite (CPC). The sensor operates on the principle of fringing electric fields, enhanced by high-aspect-ratio carbon nanotube fibers that increase local field intensity and dielectric sensitivity. Unlike conventional two-electrode designs, this configuration offers structural simplicity and is well-suited for embedded automotive platforms. Experimental testing was conducted using two types of brake fluids, with incremental additions of deionized water (0.5% by volume) to simulate moisture-induced degradation. The sensor exhibited a strong linear response to increasing water concentration, with consistent slopes across fluid types, enabling a generalized calibration model for real-time water content estimation. The CPC sensor demonstrated high sensitivity, fast response, and excellent repeatability, making it an effective solution for in-situ brake fluid monitoring. This work supports the development of predictive maintenance systems aimed at improving vehicle safety and operational reliability</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4599/phmc_25_4599"">Full paper (PDF)</a></p>",Yubin Cheon,,,Yubin Cheon; Changwoo Lee; Jae-Hyun Chung; Heung Soo Kim,,Sub,
2025-10-26 00:00:00,09:00:00,09:30:00,Doctoral Symposium,A Health Monitoring Framework for Thermal Degradation Mitigation in Solar Power Plants,Jupiter,"<p><i>Abstract:</i> <p>Prognostics and Health Management (PHM) of photovoltaic (PV) systems requires integrated approaches that link temperature forecasting with physical degradation modeling under thermal stress. This study addresses key limitations of existing PHM frameworks, such as the lack of high-resolution climate projections and limited coupling with degradation models, by proposing a unified PHM methodology tailored for high-temperature scenarios. The framework consists of three main components: (1) a formal problem definition of PV performance loss during extreme temperature and high cooling demand periods; (2) high-resolution spatiotemporal forecasting of temperatures; (3) probabilistic modeling of PV thermal degradation. The proposed approach integrates two<br>innovations, including a Gaussian copulaâ€“based risk assessment for capturing joint distributions of environmental stressors (e.g., air temperature, solar irradiance, and wind speed) and a Spatiotemporal Graph Neural Network (ST-GNN) architecture for accurate prediction of extreme temperature<br>events. Accelerated aging tests and ERA5 reanalysis data (1974â€“2023) have been used to parameterize the probabilistic aging models. Preliminary results from forecasting experiments achieved root-mean-square errors of 5.1â€“5.5Â°C across three representative Spanish climate zones. Future work will focus on enhancing the expressiveness of spatial dependencies through dynamic graph structures with learnable edge weights, as well as propagating predictive uncertainty from temperature forecasts into degradation models using uncertainty quantification techniques.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4580/phmc_25_4580"">Full paper (PDF)</a></p>",Nadia N. Sanchez-Pozo,,,Nadia N. Sanchez-Pozo; Jon Olaizola; Erik Vanem; Jose I. Aizpurua,,Sub,
2025-10-26 00:00:00,09:30:00,10:00:00,Doctoral Symposium,Deep Learning Based Remaining Useful Life Prediction of Lithium-Ion Batteries Using Early Cycle Degradation Features ,Jupiter,"<p><i>Abstract:</i> <p>The failure of a lithium-ion battery (LiB), which is used as an energy storage system (ESS) in the mobility industry, such as electric vehicles and aircraft, can lead to substantial loss of life and property, thereby causing significant problems. Therefore, it is essential to monitor the capacity degradation of the mobility battery and accurately predict the remaining useful life (RUL) from the early cycle stage. Particularly, RUL prediction is the main objective of the Battery Management System (BMS) and is important for guaranteeing the safety of the mobility system&nbsp;(Wu <em>et al.</em>, 2016)<strong>. </strong>&nbsp;This research introduces a hybrid deep learning model for RUL prediction, using LSTM-attention and Multi-Layer Perceptron (MLP) methodologies. The proposed model uses statistical degradation features and domain knowledge-based features as input data acquired from the early 100 cycles of charge/discharge data of a lithium-ion battery. The model's performance evaluation was divided into two phases: primary and secondary, providing root mean square errors of 158.4 and 168.67, respectively. This study's results aim to contribute to the advancement of Prognostic and Health Management (PHM) technology, Condition-Based Maintenance (CBM) strategies, and BMS-based life prediction technology for mobility battery systems.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4604/phmc_25_4604"">Full paper (PDF)</a></p>",Kyutae Park,,,Kyutae Park; Heung Soo Kim,,Sub,
2025-10-26 00:00:00,10:00:00,10:30:00,General,Break,Jupiter Foyer,,,,,,,Sub,
2025-10-26 00:00:00,10:30:00,11:00:00,Doctoral Symposium,Deep Learning for Robust Manufacturing: From Quality Control to Predictive Maintenance,Jupiter,"<p><i>Abstract:</i> <p>In todayâ€™s global manufacturing landscape, companies are required to balance speed, precision, and sustainability, thereby making intelligent, data-driven solutions a necessity. The convergence of Industry 4.0, cyber-physical systems and artificial intelligence technologies is leading to a new paradigm known as smart manufacturing, where the effective use of collected data can increase productivity, efficiency, and quality. This research explores the potential of deep learning to enhance industrial productivity by leveraging automated quality control of manufactured components and predictive maintenance of systems. Thus, this thesis focuses on two main objectives within an industrial context: (OB1) the development of models to enhance the quality control process, and (OB2) the development of models to implement a predictive maintenance strategy. These objectives are approached through three expected contributions. First, a quality control model for thermal images aligned with factory requirements (C1). Second, a contrastive learning model for anomaly detection in multiview images (C2). Third, a predictive maintenance model for die-casting molds (C3). Initial results are starting to show the advantage of these contributions to improve productivity in smart factories.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4577/phmc_25_4577"">Full paper (PDF)</a></p>",Paula Mielgo,,,Paula Mielgo; Anibal Bregon; Miguel A. Martinez-Prieto,,Sub,
2025-10-26 00:00:00,11:00:00,11:30:00,Doctoral Symposium,Atomic Whispers to System Health Diagnosis and Prognosis: First-Principles-Based Degradation Modeling of 2D Materials in Next-Generation Bioelectronics,Jupiter,"<p><i>Abstract:</i> <p>Our results demonstrate that Cr intercalation into 2D transition metal dichalcogenide materials will significantly elevate the interlayer shear resistance, acting as an atomic-scale ""glue"" that mitigates delamination and structural failureâ€”a key degradation mechanism. We uncover dynamic stabilization mechanisms and quantify the energy barriers that retard lateral sliding, which are crucial inputs for physics-of-failure models. We combine ab initio density functional theory (DFT) and machine-learned-force-field Molecular Dynamics (MLFF-MD) for this study. Leveraging MLFFs allows us to extend our simulations to larger length- and time-scales and hence capture long-term dopant dynamics and degradation evolution. MLFF-MD has the advantage of combining a bigger scope with near-DFT accuracy, enhancing predictive capabilities for materials design.</p>_x000D_
<p>This work provides mechanistic insight into transition metal intercalation for 2D material's stabilization and offers a physics-informed computational framework for assessing material longevity and reliability. Such predictive capabilities are critical for proactive Prognostics and Health Management (PHM), enabling the rational design of robust 2D heterostructures, guiding synthesis strategies, and informing maintenance protocols for advanced electronic and spintronic devices.</p>_x000D_
<p><!-- notionvc: 98659076-53c1-4629-a1c8-a0d9060ddbac --></p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4532/phmc_25_4532"">Full paper (PDF)</a></p>",Yi Cao,,,Yi Cao; Paulette Clancy,,Sub,
2025-10-26 00:00:00,11:30:00,12:00:00,Doctoral Symposium,PhD Symposium - Interpretable and Uncertainty-Aware Hybrid Prognostics Using Multimodal Knowledge for RUL Prediction,Jupiter,"<p><i>Abstract:</i> <p>Unforeseen technical failures contribute significantly to airline delays, highlighting the need for predictive maintenance. However, developing reliable prognostic models in aviation is challenging due to strict safety requirements, limited labeled data, and the need for interpretable and trustworthy predictions. This research proposes a hybrid framework for remaining useful life (RUL) prediction that integrates multimodal domain knowledge available to airlines, such as sensor data, contextual information and reliability insights, into interpretable and uncertainty-aware algorithms. To this end, the proposed framework resorts to unsupervised degradation extraction with knowledge-informed autoencoders and supports extensions for failure mode segmentation. Initial experiments on a benchmark dataset show promising results, and application to real-world commercial aircraft data is planned to further validate the approach.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4605/phmc_25_4605"">Full paper (PDF)</a></p>",Dario Goglio,,,Dario Goglio; Dimitrios Zarouchas; Manuel Arias Chao,,Sub,
2025-10-26 00:00:00,12:00:00,13:00:00,Doctoral Symposium,Included Lunch for Doctoral Symposium presenters and panelists,,,,,,,,Sub,
2025-10-26 00:00:00,13:00:00,13:30:00,Doctoral Symposium,A Method for Self-Healing System Integration within Human Habitation Systems,Jupiter,"<p><i>Abstract:</i> <p>This document serves as a summary of the creation of a method that supports and enables the development, integration, evaluation, and selection of self-healing systems within deep space habitats. We begin with developing the inherent motivation and desire for the inclusion of self-healing systems within space habitats: the problem with traditional methods of fault recovery and how they fail in a space habitat context. The intrinsic links between the concept of the self-healing system, Prognostics and Health Management, and affiliated areas of research are then shown to prove the relevance of this thesisâ€™ work to the PHM Society. The research plan is then laid out fully, beginning with the initial architecting of the baseline system of interest, generation of promising self-healing architectures, development of an analytical model to investigate faults, failures, and promising self-healing architectures, approaches to trade said self-healing architectures, and finally, showcasing how a selection process could be handled for a user-defined optimal architecture to be integrated within a habitat of choice. Preliminary results will be presented here. Finally, the novelty of the problem and approach is showcased specifically, along with contributions to the field of PHM, but also self-healing system development, and resilience engineering as a whole.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4637/phmc_25_4637"">Full paper (PDF)</a></p>",Marc Koerschner,,,Marc Koerschner; Michael Balchanos; Dimitri Mavris,,Sub,
2025-10-26 00:00:00,13:30:00,14:00:00,Doctoral Symposium,Gear Diagnostics Based On Transfer Learning Methodologies and Digital Twinning,Jupiter,"<p><i>Abstract:</i> <p>This paper outlines the motivation for the research, reviewed the relevant SOTA in TL and CM, and identified some current research gaps. Moreover a dedicated test rig that will be used for methodological development and experimental validation has been described in detail. Finally, a structured research plan has been proposed, with the ultimate objective of developing a robust and scalable methodology combining ML and DTs for fault diagnostics of WT gearboxes, thereby contributing meaningfully to the field of PHM.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4643/phmc_25_4643"">Full paper (PDF)</a></p>",Henrique Duarte Vieira de Sousa,,,Henrique Duarte Vieira de Sousa; Konstantinos Gryllias,,Sub,
2025-10-26 00:00:00,14:00:00,14:30:00,Doctoral Symposium,PhD Symposium Stochastic_Optimisation_of_Tail_Assignment_and_Maintenance_Task_Scheduling_with_health_aware_models,Jupiter,"<p><i>Abstract:</i> <p>Efficient maintenance management is essentialâ€”not only to reduce costs but also to maximize aircraft availability and uphold safety standards. This requires balancing maintenance scheduling (MS), which drives downtime, with tail assignment (TA), which governs aircraft utilization. While recent research has explored the integration of MS and TA, these efforts have largely neglected the role of Condition-Based Maintenance (CBM) and the uncertainty inherent in prognostic models. This research proposes a novel, unified framework that jointly optimizes MS, TA, and CBM using stochastic programming and health-aware models. The approach leverages sensor-derived prognostic information to forecast component degradation and incorporates its probabilistic nature directly into the planning process. By accounting for uncertainty in remaining useful life (RUL) predictions, the model produces robust flight and maintenance schedules that reduce the risk of unplanned disruptions. Preliminary experiments using real-world airline data demonstrate that explicitly modeling health uncertainty leads to more reliable scheduling outcomes, while improving operational efficiency and reducing maintenance costs. Compared to current industry practice, the integrated framework enables data-driven, future-oriented decision-making at the interface between fleet operations and maintenance planning. This work advances the state-of-the-art by holistically addressing TA, MS, and CBM within a scalable and interpretable optimization modelâ€”closing a critical gap in the practical deployment of CBM strategies in civil aviation.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4610/phmc_25_4610"">Full paper (PDF)</a></p>",Benno Kaslin,,,Benno Kaslin; Marta Ribeiro; Dimitrios Zarouchas; Manuel Arias Chao,,Sub,
2025-10-26 00:00:00,14:30:00,15:00:00,General,Break,Jupiter Foyer,,,,,,,Sub,
2025-10-26 00:00:00,15:00:00,15:30:00,Doctoral Symposium,Novel Segmentation Methodology for Robust Feature Engineering of Time Series Data in Prognostics and Health Management,Jupiter,"<p><i>Abstract:</i> <p>Time series segmentation plays a critical role in feature engineering for prognostics and health management (PHM), yet most existing approaches rely on domain-specific rules or fail to preserve meaningful transient patterns. This research proposes a segmentation-driven framework that leverages a greedy Perceptually Important Point (PIP) algorithm to identify informative structural regimes in sensor signals without prior domain knowledge. A global reference signal is constructed from class-level Euclidean-barycenter averages, and consistent segment boundaries are applied across all samples. Segment-level statistical features are then extracted and used for classification. Evaluation on a chemical gas sensor dataset demonstrates that the proposed method significantly outperforms traditional whole-signal summary statistics, achieving improved robustness to drift and unit variability. Future work includes parameter optimization of the PIP algorithm, exploration of class-sensitive segmentation strategies, and extension of the framework to remaining useful life (RUL) prediction and anomaly detection tasks.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4606/phmc_25_4606"">Full paper (PDF)</a></p>",Dai-Yan Ji,,,Dai-Yan Ji; Jay Lee,,Sub,
2025-10-26 00:00:00,15:30:00,16:00:00,Doctoral Symposium,Neural Counterfactual Reasoning for Interacting Systems: Bridging Physics-Informed Learning and Reasoning for PHM,Jupiter,"<p><i>Abstract:</i> <p>Over the past decade, advances in sensing and information technologies have enabled industries to collect large amounts of data. Yet, decision-making often remains driven by the intuition of domain experts who rely on simplistic analyses and short-term considerations. This frequently leads to suboptimal decisions that fail to account for long-term effects, particularly in complex, interconnected systems. Current data-driven strategies typically focus on immediate objectives, overlooking relational structures and longer-term impacts. There is a growing need for more transparent, generalizable models that can simulate system behavior, reason about alternative future scenarios, and extrapolate to unseen conditionsâ€”capabilities that are essential for decision-making in Prognostics and<br>Health Management (PHM). This research aims to advance reasoning and decision support in PHM through three novel contributions: (1) a physics-informed surrogate model for simulating rigid body interactions, enabling the exploration of â€what-ifâ€ scenarios, (2) an object-centric visual reasoning model for dynamics prediction in sensor-limited environments, supporting visual inspection tasks, and (3) a neuro-symbolic framework for interpretable root-cause analysis in time series, improving diagnostic transparency and providing actionable insights.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4590/phmc_25_4590"">Full paper (PDF)</a></p>",Amaury Wei,,,Amaury Wei; Olga Fink,,Sub,
2025-10-26 00:00:00,16:00:00,16:30:00,Doctoral Symposium,Integrating Few-Shot Learning and Pre-trained Models into Similarity-Based PHM using Small Data in Complex Engineering Systems,Jupiter,"<p><i>Abstract:</i> <p>Prognostics and Health Management (PHM) is vital for complex engineering systems, yet its data-driven solutions are often hampered by the ""small data problem""â€”a scarcity of labeled fault data in industrial settings. This limitation restricts the training and generalization of machine learning models and is compounded by varying operational conditions that reduce the relevance of historical data and pre-trained models. This research introduces a research framework to tackle these small data challenges in PHM. The primary objective is to develop a robust and adaptable PHM methodology by enhancing and synergistically integrating similarity-based Few-Shot Learning (FSL) with large-scale pre-trained time-series models. The research will focus on two main thrusts. First, it aims to improve the generalization capabilities of FSL frameworks by addressing limitations such as noise robustness, domain shift adaptability, and generalization to novel faults across diverse PHM domains. This involves developing noise-robust feature extraction, integrating domain adaptation techniques, and exploring expressive similarity metrics. Second, the study will investigate the effective adaptation of state-of-the-art pre-trained time-series models (e.g., TimesNet) for PHM tasks under data scarcity, focusing on efficient fine-tuning and synergistic integration with the enhanced FSL approaches. The author's prior success in a PHM data challenge using a similarity-based method for spacecraft systems provides preliminary validation. This research is expected to deliver an enhanced PHM framework for high-accuracy diagnostics with limited data, contributing generalized FSL models, systematic methods for leveraging pre-trained models in PHM, and advancing the practical deployment of intelligent PHM solutions.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4594/phmc_25_4594"">Full paper (PDF)</a></p>",Takanobu Minami,,,Takanobu Minami; Jay Lee,,Sub,
2025-10-26 00:00:00,16:30:00,16:45:00,Doctoral Symposium,Final Thoughts from the Panelists,Jupiter,,,,,,,Sub,
2025-10-26 00:00:00,16:45:00,16:55:00,Doctoral Symposium,Feedback from Students & Audience,Jupiter,,,,,,,Sub,
2025-10-26 00:00:00,16:55:00,17:00:00,Doctoral Symposium,Conclusions ,Jupiter,,,,,,,Sub,
,,,,,,,,,,,,,
2025-10-27 00:00:00,07:30:00,16:00:00,General,Registration,,,,,,,,,
2025-10-27 00:00:00,09:00:00,10:30:00,Workshops,Leveraging AI for Risk Identification and Resolution Across the Product Lifecycle,Evergreen EF,"Axion will share context around how manufacturers across industries are leveraging additional data streams to improve product performance across the lifecycle. Attendees will then have the opportunity to explore a real-world use case on a representative aerospace data set, both using typical tooling and subsequently via a hands-on exercise in Axion's software platform showing how AI can supercharge identifying issues impacting fleet performance.",,,,,,Session,
2025-10-27 00:00:00,10:30:00,10:45:00,General,Break,Evergreen Foyer,,,,,,,Session,
2025-10-27 00:00:00,10:45:00,12:00:00,Workshops,Leveraging AI for Risk Identification and Resolution Across the Product Lifecycle (continued),Evergreen EF,"Axion will share context around how manufacturers across industries are leveraging additional data streams to improve product performance across the lifecycle. Attendees will then have the opportunity to explore a real-world use case on a representative aerospace data set, both using typical tooling and subsequently via a hands-on exercise in Axion's software platform showing how AI can supercharge identifying issues impacting fleet performance.",,,,,,Session,
2025-10-27 00:00:00,12:00:00,13:00:00,General,Lunch on your own,,<i>Enjoy the Bellevue scene!</i>,,,,,,Session,
2025-10-27 00:00:00,13:00:00,13:30:00,General;  Keynotes,Opening Remarks,Evergreen EF,,Dave Larsen; Scott Clements,,,,,Session,
2025-10-27 00:00:00,13:30:00,13:45:00,General,Break,Evergreen Foyer,,,,,,,Session,
